"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","01-Jan-2013","        594.57","        595.95","        604.80","        595.95","        603.00","        602.15","        600.85","      51854","            31156383.24","       2419","      39869","         76.89"
"NIFTYBEES","EQ","02-Jan-2013","        602.15","        603.50","        604.70","        602.53","        603.00","        603.56","        603.40","     135640","            81845025.63","       1238","     113469","         83.65"
"NIFTYBEES","EQ","03-Jan-2013","        603.56","        604.00","        607.00","        603.00","        604.80","        604.73","        604.64","      55935","            33820799.28","        987","      47906","         85.65"
"NIFTYBEES","EQ","04-Jan-2013","        604.73","        604.70","        606.25","        602.00","        605.01","        605.65","        604.31","      44729","            27029971.58","       1402","      31664","         70.79"
"NIFTYBEES","EQ","07-Jan-2013","        605.65","        605.11","        606.95","        602.61","        603.80","        603.21","        604.95","      25452","            15397178.14","       1666","      20352","         79.96"
"NIFTYBEES","EQ","08-Jan-2013","        603.21","        603.20","        605.00","        601.00","        603.95","        604.23","        603.07","      48755","            29402833.46","       1128","      38248","         78.45"
"NIFTYBEES","EQ","09-Jan-2013","        604.23","        606.00","        606.00","        600.00","        600.52","        601.32","        604.26","      53553","            32360073.93","       1435","      44518","         83.13"
"NIFTYBEES","EQ","10-Jan-2013","        601.32","        603.00","        604.72","        599.50","        600.00","        600.61","        601.24","      54564","            32805862.44","       1025","      37577","         68.87"
"NIFTYBEES","EQ","11-Jan-2013","        600.61","        601.00","        604.85","        598.50","        598.50","        599.27","        601.40","      65414","            39340287.07","       1188","      57554","         87.98"
"NIFTYBEES","EQ","14-Jan-2013","        599.27","        600.00","        610.40","        599.11","        609.80","        607.22","        605.39","      56132","            33981551.74","       1049","      47671","         84.93"
"NIFTYBEES","EQ","15-Jan-2013","        607.22","        607.60","        611.00","        605.27","        610.02","        609.98","        608.87","      52950","            32239667.20","       1727","      41879","         79.09"
"NIFTYBEES","EQ","16-Jan-2013","        609.98","        609.01","        609.89","        605.00","        606.50","        606.45","        607.50","      40999","            24906782.97","       1055","      33386","         81.43"
"NIFTYBEES","EQ","17-Jan-2013","        606.45","        608.00","        609.20","        603.75","        607.01","        607.95","        607.16","      44723","            27153991.93","        700","      39717","         88.81"
