"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","02-Jan-2012","        470.05","        473.00","        473.00","        467.50","        471.20","        471.78","        470.44","      49661","            23362351.59","       2501","      20592","         41.47"
"NIFTYBEES","EQ","03-Jan-2012","        471.78","        474.00","        486.00","        474.00","        485.00","        485.09","        481.16","      42379","            20390972.53","       1904","      24642","         58.15"
"NIFTYBEES","EQ","04-Jan-2012","        485.09","        484.01","        486.00","        480.55","        484.50","        483.49","        483.74","      70829","            34262789.60","       1806","      41061","         57.97"
"NIFTYBEES","EQ","05-Jan-2012","        483.49","        483.11","        485.99","        481.11","        482.00","        483.49","        483.91","      31163","            15080206.56","       1953","      15560","         49.93"
"NIFTYBEES","EQ","06-Jan-2012","        483.49","        482.25","        488.90","        477.20","        486.20","        484.83","        481.84","      45024","            21694407.77","       1868","      18010","         40.00"
"NIFTYBEES","EQ","07-Jan-2012","        484.83","        482.00","        488.00","        470.00","        483.15","        484.84","        485.89","      10417","             5061467.13","       1143","       5170","         49.63"
"NIFTYBEES","EQ","09-Jan-2012","        484.84","        483.10","        485.69","        479.11","        482.50","        482.57","        482.14","      25764","            12421905.46","       1414","      11500","         44.64"
"NIFTYBEES","EQ","10-Jan-2012","        482.57","        484.00","        494.75","        484.00","        493.60","        493.84","        491.56","     166922","            82052450.37","       2610","     141184","         84.58"
"NIFTYBEES","EQ","11-Jan-2012","        493.84","        494.00","        494.99","        491.00","        492.00","        491.59","        492.56","      85473","            42100223.94","       1692","      48549","         56.80"
"NIFTYBEES","EQ","12-Jan-2012","        491.59","        490.02","        493.90","        487.50","        490.10","        489.38","        489.87","      57382","            28109471.40","       1926","      22314","         38.89"
"NIFTYBEES","EQ","13-Jan-2012","        489.38","        491.00","        496.15","        489.35","        493.00","        493.25","        492.94","      40166","            19799258.87","       1801","      17749","         44.19"
"NIFTYBEES","EQ","16-Jan-2012","        493.25","        490.00","        494.45","        488.55","        493.05","        493.51","        491.06","      48237","            23687122.56","       2260","      21746","         45.08"
"NIFTYBEES","EQ","17-Jan-2012","        493.51","        495.00","        502.90","        495.00","        501.00","        501.49","        500.67","      64996","            32541295.29","       1825","      35796","         55.07"
"NIFTYBEES","EQ","18-Jan-2012","        501.49","        503.00","        503.00","        497.50","        499.95","        500.33","        499.44","      61087","            30509067.69","       1415","      39907","         65.33"
"NIFTYBEES","EQ","19-Jan-2012","        500.33","        504.60","        506.99","        503.10","        506.10","        505.98","        504.81","      66602","            33621348.47","       1467","      47383","         71.14"
"NIFTYBEES","EQ","20-Jan-2012","        505.98","        507.00","        510.45","        497.10","        509.00","        508.04","        507.25","     103477","            52488381.36","       2057","      60188","         58.17"
"NIFTYBEES","EQ","23-Jan-2012","        508.04","        507.95","        513.80","        507.51","        513.80","        512.32","        509.92","     152188","            77604062.53","       2507","      91104","         59.86"
