"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","02-Jan-2017","        834.89","        840.00","        840.00","        830.40","        835.50","        835.11","        833.60","      20171","            16814500.09","       1130","       9468","         46.94"
"NIFTYBEES","EQ","03-Jan-2017","        835.11","        836.00","        838.90","        832.00","        836.23","        836.12","        836.23","      20584","            17213050.30","        721","       9273","         45.05"
"NIFTYBEES","EQ","04-Jan-2017","        836.12","        837.00","        838.60","        833.33","        836.00","        835.80","        836.52","      33485","            28010875.86","        654","      18192","         54.33"
"NIFTYBEES","EQ","05-Jan-2017","        835.80","        841.00","        844.95","        838.12","        844.80","        843.90","        842.82","      42999","            36240612.86","       1141","      22123","         51.45"
"NIFTYBEES","EQ","06-Jan-2017","        843.90","        862.00","        862.00","        841.11","        843.05","        842.32","        845.58","      34839","            29459106.41","        959","      13304","         38.19"
"NIFTYBEES","EQ","09-Jan-2017","        842.32","        842.00","        843.53","        840.15","        841.63","        841.29","        841.44","      22913","            19280022.60","        780","      12370","         53.99"
"NIFTYBEES","EQ","10-Jan-2017","        841.29","        843.88","        845.50","        842.88","        844.32","        844.47","        843.96","      27733","            23405515.01","        922","      15789","         56.93"
"NIFTYBEES","EQ","11-Jan-2017","        844.47","        845.00","        854.70","        845.00","        853.10","        854.30","        850.95","      41429","            35253809.15","       1004","      16200","         39.10"
"NIFTYBEES","EQ","12-Jan-2017","        854.30","        855.00","        857.00","        854.01","        856.41","        856.65","        855.43","      51570","            44114391.69","        733","      38860","         75.35"
"NIFTYBEES","EQ","13-Jan-2017","        856.65","        858.98","        859.58","        853.69","        855.32","        856.01","        856.73","      32118","            27516465.39","        717","      21150","         65.85"
"NIFTYBEES","EQ","16-Jan-2017","        856.01","        855.00","        858.84","        853.50","        857.27","        857.67","        856.28","      30452","            26075468.51","        993","      12995","         42.67"
"NIFTYBEES","EQ","17-Jan-2017","        857.67","        862.00","        862.00","        854.00","        855.75","        855.60","        857.01","      22353","            19156788.08","        514","      14004","         62.65"
"NIFTYBEES","EQ","18-Jan-2017","        855.60","        857.00","        861.50","        855.60","        857.89","        857.48","        858.67","      23890","            20513666.81","        625","      14205","         59.46"
"NIFTYBEES","EQ","19-Jan-2017","        857.48","        860.00","        860.50","        856.00","        859.00","        859.51","        858.42","      15935","            13678868.98","        446","      12075","         75.78"
"NIFTYBEES","EQ","20-Jan-2017","        859.51","        861.00","        861.00","        850.10","        851.30","        851.03","        854.21","      20497","            17508760.92","        834","      10153","         49.53"
"NIFTYBEES","EQ","23-Jan-2017","        851.03","        850.50","        856.90","        849.45","        854.89","        854.57","        852.24","      41175","            35090869.21","        839","      27447","         66.66"
"NIFTYBEES","EQ","24-Jan-2017","        854.57","        856.50","        863.20","        856.50","        862.80","        862.82","        859.83","      66363","            57061209.39","        722","      55194","         83.17"
"NIFTYBEES","EQ","25-Jan-2017","        862.82","        864.00","        876.00","        864.00","        874.37","        874.59","        871.27","      88083","            76743845.75","       1144","      67976","         77.17"
"NIFTYBEES","EQ","27-Jan-2017","        874.59","        873.37","        883.59","        873.37","        879.90","        879.88","        881.43","      48982","            43174377.90","       1248","      26938","         55.00"
"NIFTYBEES","EQ","30-Jan-2017","        879.88","        830.00","        881.70","        830.00","        880.15","        879.40","        879.50","      31852","            28013985.25","        798","      22925","         71.97"
"NIFTYBEES","EQ","31-Jan-2017","        879.40","        880.00","        880.00","        871.50","        871.78","        872.28","        874.56","      27766","            24283047.77","        749","      15704","         56.56"
"NIFTYBEES","EQ","01-Feb-2017","        872.28","        875.00","        888.70","        870.40","        887.57","        887.28","        879.93","      56467","            49687053.14","       1658","      27222","         48.21"
"NIFTYBEES","EQ","02-Feb-2017","        887.28","        887.00","        891.60","        884.11","        888.60","        888.96","        887.33","      41799","            37089523.29","       1059","      26218","         62.72"
"NIFTYBEES","EQ","03-Feb-2017","        888.96","        888.95","        891.40","        887.12","        890.01","        889.93","        889.14","      26034","            23147830.05","        667","      18226","         70.01"
"NIFTYBEES","EQ","06-Feb-2017","        889.93","        895.00","        897.90","        891.55","        895.90","        896.59","        895.72","      26965","            24153160.06","       1163","      18947","         70.27"
"NIFTYBEES","EQ","07-Feb-2017","        896.59","        899.00","        899.00","        891.31","        894.10","        893.72","        894.77","      23902","            21386872.61","        917","      13350","         55.85"
"NIFTYBEES","EQ","08-Feb-2017","        893.72","        893.61","        896.36","        889.05","        894.50","        894.36","        893.36","      19235","            17183857.39","        741","       9778","         50.83"
"NIFTYBEES","EQ","09-Feb-2017","        894.36","        895.04","        899.00","        889.05","        894.69","        894.56","        893.41","      18590","            16608533.93","        876","      10554","         56.77"
"NIFTYBEES","EQ","10-Feb-2017","        894.56","        899.50","        899.50","        894.35","        896.00","        895.89","        896.60","      13368","            11985788.55","       1012","       7723","         57.77"
"NIFTYBEES","EQ","13-Feb-2017","        895.89","        900.00","        900.00","        892.00","        897.00","        897.00","        895.55","      13857","            12409610.99","        771","       9809","         70.79"
"NIFTYBEES","EQ","14-Feb-2017","        897.00","        900.00","        900.00","        894.33","        896.21","        897.55","        896.49","      10077","             9033904.36","        442","       5907","         58.62"
"NIFTYBEES","EQ","15-Feb-2017","        897.55","        900.00","        900.00","        887.02","        891.34","        890.41","        892.55","      20248","            18072352.56","       1064","      10998","         54.32"
"NIFTYBEES","EQ","16-Feb-2017","        890.41","        893.00","        895.99","        888.98","        894.70","        895.12","        892.88","       8765","             7826103.09","        481","       4943","         56.39"
"NIFTYBEES","EQ","17-Feb-2017","        895.12","        898.00","        904.00","        897.61","        898.50","        899.50","        901.35","      55048","            49617245.34","        995","      21267","         38.63"
"NIFTYBEES","EQ","20-Feb-2017","        899.50","        900.00","        905.45","        896.11","        905.38","        904.99","        902.20","      22018","            19864548.34","        835","      12776","         58.03"
"NIFTYBEES","EQ","21-Feb-2017","        904.99","        906.00","        908.75","        903.50","        906.90","        907.16","        905.10","      39070","            35362176.09","        636","      31203","         79.86"
"NIFTYBEES","EQ","22-Feb-2017","        907.16","        909.00","        912.77","        905.65","        909.24","        909.56","        909.95","      28618","            26040871.82","        806","      21055","         73.57"
"NIFTYBEES","EQ","23-Feb-2017","        909.56","        910.00","        914.55","        909.00","        912.50","        911.31","        912.55","      48200","            43984880.60","        706","      34799","         72.20"
"NIFTYBEES","EQ","27-Feb-2017","        911.31","        912.00","        912.75","        906.32","        907.02","        907.49","        910.10","      29032","            26421912.38","       1009","      18848","         64.92"
"NIFTYBEES","EQ","28-Feb-2017","        907.49","        910.00","        910.00","        905.00","        906.14","        906.65","        907.25","      12972","            11768814.62","        662","       8327","         64.19"
"NIFTYBEES","EQ","01-Mar-2017","        906.65","        907.30","        916.70","        907.30","        913.13","        915.96","        915.87","     563949","           516504794.48","       1041","     550909","         97.69"
"NIFTYBEES","EQ","02-Mar-2017","        915.96","        920.00","        920.00","        909.00","        910.01","        910.72","        918.56","     598020","           549314452.48","       1142","     556362","         93.03"
"NIFTYBEES","EQ","03-Mar-2017","        910.72","        907.02","        911.09","        906.00","        910.61","        910.44","        907.94","      18050","            16388318.63","        605","      12850","         71.19"
"NIFTYBEES","EQ","06-Mar-2017","        910.44","        911.13","        916.30","        910.00","        914.70","        915.56","        914.39","      14182","            12967880.25","        918","       6616","         46.65"
"NIFTYBEES","EQ","07-Mar-2017","        915.56","        915.00","        915.00","        912.65","        913.38","        913.10","        913.84","      16512","            15089387.32","        641","      10797","         65.39"
"NIFTYBEES","EQ","08-Mar-2017","        913.10","        914.00","        915.00","        907.95","        910.01","        910.79","        910.99","      38609","            35172462.19","        755","      24102","         62.43"
"NIFTYBEES","EQ","09-Mar-2017","        910.79","        909.34","        915.50","        908.00","        914.00","        914.95","        913.42","     648149","           592031883.01","        789","     572112","         88.27"
"NIFTYBEES","EQ","10-Mar-2017","        914.95","        914.00","        917.13","        911.20","        913.51","        914.50","        914.33","      15889","            14527798.01","        806","       9873","         62.14"
"NIFTYBEES","EQ","14-Mar-2017","        914.50","        920.26","        933.00","        920.26","        927.95","        927.37","        927.57","      56708","            52600672.52","       1545","      37010","         65.26"
"NIFTYBEES","EQ","15-Mar-2017","        927.37","        928.11","        930.80","        925.96","        925.96","        926.98","        928.18","      44293","            41112043.26","       1680","      39920","         90.13"
"NIFTYBEES","EQ","16-Mar-2017","        926.98","        927.20","        935.25","        927.20","        935.00","        934.64","        932.74","     206582","           192686785.67","       1523","     169642","         82.12"
"NIFTYBEES","EQ","17-Mar-2017","        934.64","        934.00","        937.00","        932.00","        934.60","        934.35","        934.49","     438437","           409716433.54","        977","     412995","         94.20"
"NIFTYBEES","EQ","20-Mar-2017","        934.35","        934.30","        934.63","        931.11","        933.40","        932.61","        932.07","      86121","            80271212.30","       1520","      81237","         94.33"
"NIFTYBEES","EQ","21-Mar-2017","        932.61","        932.13","        934.00","        929.85","        934.00","        933.05","        931.41","      24738","            23041099.26","        545","      19024","         76.90"
"NIFTYBEES","EQ","22-Mar-2017","        933.05","        927.11","        928.55","        922.15","        922.15","        922.75","        925.47","      45354","            41973991.66","        816","      25739","         56.75"
"NIFTYBEES","EQ","23-Mar-2017","        922.75","        924.00","        931.20","        923.60","        929.00","        930.01","        929.50","     124134","           115382353.17","        660","     107652","         86.72"
"NIFTYBEES","EQ","24-Mar-2017","        930.01","        930.53","        933.99","        927.00","        931.01","        933.13","        933.16","      57802","            53938744.51","        526","      38100","         65.91"
"NIFTYBEES","EQ","27-Mar-2017","        933.13","        981.25","        981.25","        923.99","        926.51","        926.00","        927.29","      64735","            60028398.12","       1113","      54150","         83.65"
"NIFTYBEES","EQ","28-Mar-2017","        926.00","        927.99","        932.00","        927.00","        931.65","        929.84","        929.68","       8867","             8243494.94","        448","       4499","         50.74"
"NIFTYBEES","EQ","29-Mar-2017","        929.84","        929.99","        934.90","        929.99","        934.85","        932.36","        931.87","      21547","            20078923.09","        479","      10483","         48.65"
"NIFTYBEES","EQ","30-Mar-2017","        932.36","        932.43","        939.50","        932.36","        938.25","        937.57","        937.45","      80425","            75394759.40","        928","      59769","         74.32"
"NIFTYBEES","EQ","31-Mar-2017","        937.57","        936.59","        939.00","        934.00","        938.30","        938.27","        937.00","      22911","            21467633.54","        497","      10999","         48.01"
"NIFTYBEES","EQ","03-Apr-2017","        938.27","        941.00","        945.90","        938.00","        944.90","        944.12","        941.37","      22011","            20720539.43","       1175","      15428","         70.09"
"NIFTYBEES","EQ","05-Apr-2017","        944.12","        950.00","        950.00","        942.70","        944.45","        945.33","        944.82","      29636","            28000625.78","        911","      24973","         84.27"
"NIFTYBEES","EQ","06-Apr-2017","        945.33","        946.00","        946.00","        941.51","        944.70","        945.41","        943.20","      16685","            15737351.73","        642","       9575","         57.39"
"NIFTYBEES","EQ","07-Apr-2017","        945.41","        946.00","        946.00","        939.00","        940.60","        939.65","        942.95","      34374","            32413046.07","        809","      19725","         57.38"
"NIFTYBEES","EQ","10-Apr-2017","        939.65","        940.10","        942.90","        938.70","        939.12","        939.19","        940.81","      24378","            22934957.80","        965","      16187","         66.40"
"NIFTYBEES","EQ","11-Apr-2017","        939.19","        940.00","        944.40","        937.15","        943.15","        943.44","        941.17","      27433","            25819000.92","        544","      15580","         56.79"
"NIFTYBEES","EQ","12-Apr-2017","        943.44","        943.00","        944.30","        936.67","        941.05","        940.37","        940.12","      13553","            12741419.74","        543","       6935","         51.17"
"NIFTYBEES","EQ","13-Apr-2017","        940.37","        942.00","        942.00","        934.00","        934.00","        935.06","        936.81","      17452","            16349125.97","        531","      10871","         62.29"
"NIFTYBEES","EQ","17-Apr-2017","        935.06","        935.10","        935.85","        932.00","        934.80","        934.54","        933.75","      16503","            15409679.90","       1047","       8725","         52.87"
"NIFTYBEES","EQ","18-Apr-2017","        934.54","        934.79","        941.50","        928.85","        930.00","        929.58","        935.88","      17491","            16369453.33","        641","      11947","         68.30"
"NIFTYBEES","EQ","19-Apr-2017","        929.58","        930.00","        932.00","        927.01","        931.90","        930.73","        929.24","      12886","            11974224.22","        576","       7292","         56.59"
"NIFTYBEES","EQ","20-Apr-2017","        930.73","        931.00","        934.35","        929.40","        934.20","        933.59","        931.83","       6512","             6068097.95","        408","       3171","         48.69"
"NIFTYBEES","EQ","21-Apr-2017","        933.59","        935.00","        937.00","        928.50","        931.90","        931.12","        933.86","      18099","            16901952.94","        556","      13451","         74.32"
"NIFTYBEES","EQ","24-Apr-2017","        931.12","        935.00","        942.77","        930.02","        941.25","        941.48","        937.77","      27946","            26207042.76","        750","      21391","         76.54"
"NIFTYBEES","EQ","25-Apr-2017","        941.48","        945.00","        949.90","        942.72","        949.40","        949.22","        946.28","      44183","            41809624.60","        735","      31201","         70.62"
"NIFTYBEES","EQ","26-Apr-2017","        949.22","        955.00","        956.00","        949.10","        953.99","        954.08","        952.73","      70998","            67641859.82","        829","      42682","         60.12"
"NIFTYBEES","EQ","27-Apr-2017","        954.08","        960.00","        960.00","        952.00","        953.25","        953.49","        954.41","      48710","            46489208.55","        711","      21216","         43.56"
"NIFTYBEES","EQ","28-Apr-2017","        953.49","        955.00","        955.00","        948.05","        950.35","        949.88","        949.73","      26769","            25423404.23","        601","      11843","         44.24"
"NIFTYBEES","EQ","02-May-2017","        949.88","        951.00","        954.80","        946.91","        950.38","        950.33","        951.06","      20986","            19958884.52","        955","      11601","         55.28"
"NIFTYBEES","EQ","03-May-2017","        950.33","        952.00","        956.90","        949.30","        950.25","        950.44","        950.95","      23715","            22551894.12","        385","       7045","         29.71"
"NIFTYBEES","EQ","04-May-2017","        950.44","        953.00","        956.55","        951.51","        955.13","        955.64","        954.48","      15208","            14515736.76","        490","      10472","         68.86"
"NIFTYBEES","EQ","05-May-2017","        955.64","        957.00","        957.00","        947.50","        949.30","        949.02","        950.45","      16165","            15363980.43","        733","      10433","         64.54"
"NIFTYBEES","EQ","08-May-2017","        949.02","        955.00","        955.00","        949.58","        950.75","        950.27","        950.86","     106721","           101476878.58","        851","      97325","         91.20"
"NIFTYBEES","EQ","09-May-2017","        950.27","        955.00","        955.00","        950.25","        951.25","        951.12","        952.35","      17512","            16677493.42","        394","       8995","         51.36"
"NIFTYBEES","EQ","10-May-2017","        951.12","        953.00","        960.70","        952.51","        960.70","        960.03","        957.51","      25768","            24673159.06","        963","      19916","         77.29"
"NIFTYBEES","EQ","11-May-2017","        960.03","        963.00","        964.79","        960.00","        961.72","        961.13","        962.59","      35078","            33765890.94","        535","      17190","         49.01"
"NIFTYBEES","EQ","12-May-2017","        961.13","        965.00","        965.00","        956.75","        960.25","        959.47","        958.79","      34763","            33330567.61","        483","      26141","         75.20"
"NIFTYBEES","EQ","15-May-2017","        959.47","        962.00","        964.30","        960.90","        962.80","        963.05","        963.18","      12470","            12010845.98","        848","       8766","         70.30"
"NIFTYBEES","EQ","16-May-2017","        963.05","        965.00","        971.21","        963.00","        970.95","        970.65","        968.28","      23296","            22557118.41","        599","      15222","         65.34"
"NIFTYBEES","EQ","17-May-2017","        970.65","        974.00","        974.00","        966.51","        971.45","        972.12","        970.81","      13692","            13292293.11","        582","       8062","         58.88"
"NIFTYBEES","EQ","18-May-2017","        972.12","        970.00","        970.00","        961.10","        961.30","        962.33","        965.59","      58475","            56462792.79","        629","      39870","         68.18"
"NIFTYBEES","EQ","19-May-2017","        962.33","        965.00","        970.75","        958.55","        962.55","        962.53","        965.83","      36645","            35392849.27","        613","      19183","         52.35"
"NIFTYBEES","EQ","22-May-2017","        962.53","        965.00","        969.00","        962.18","        963.10","        963.64","        966.08","      21556","            20824845.85","        732","       8570","         39.76"
"NIFTYBEES","EQ","23-May-2017","        963.64","        966.00","        966.00","        956.00","        958.08","        958.01","        959.07","      14619","            14020661.75","        698","      11352","         77.65"
"NIFTYBEES","EQ","24-May-2017","        958.01","        961.00","        963.48","        953.30","        956.00","        955.32","        958.31","      26093","            25005089.77","        583","      19836","         76.02"
"NIFTYBEES","EQ","25-May-2017","        955.32","        960.00","        971.69","        955.96","        969.25","        970.46","        965.98","      21488","            20757072.11","        766","      12393","         57.67"
"NIFTYBEES","EQ","26-May-2017","        970.46","        973.00","        979.90","        969.00","        977.98","        978.89","        975.79","      26814","            26164806.90","        787","      19137","         71.37"
"NIFTYBEES","EQ","29-May-2017","        978.89","        977.00","        983.90","        974.65","        980.00","        980.29","        979.53","      28845","            28254534.98","        997","      20637","         71.54"
"NIFTYBEES","EQ","30-May-2017","        980.29","        982.00","        983.54","        977.94","        982.71","        981.75","        980.60","      13688","            13422442.42","        570","       9295","         67.91"
"NIFTYBEES","EQ","31-May-2017","        981.75","        985.00","        985.00","        981.01","        982.18","        982.22","        982.84","      11500","            11302673.75","        462","       5981","         52.01"
