"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","01-Jan-2020","        129.15","        128.95","        131.00","        128.95","        129.31","        129.42","        129.39","     269259","            34838669.14","       2884","     191723","         71.20"
"NIFTYBEES","EQ","02-Jan-2020","        129.42","        132.00","        134.60","        129.40","        130.13","        130.14","        129.90","     329677","            42825128.97","       2178","     246122","         74.66"
"NIFTYBEES","EQ","03-Jan-2020","        130.14","        129.07","        130.85","        129.07","        129.83","        129.71","        129.75","     298681","            38754955.10","       2118","     232745","         77.92"
"NIFTYBEES","EQ","06-Jan-2020","        129.71","        129.40","        129.47","        127.11","        127.43","        127.37","        127.73","     721657","            92180735.50","       6192","     447233","         61.97"
"NIFTYBEES","EQ","07-Jan-2020","        127.37","        127.95","        128.70","        127.31","        127.95","        127.76","        127.97","     743200","            95103883.98","       2700","     400888","         53.94"
"NIFTYBEES","EQ","08-Jan-2020","        127.76","        126.59","        127.75","        126.50","        127.59","        127.56","        127.14","     422774","            53751226.18","       2824","     300899","         71.17"
"NIFTYBEES","EQ","09-Jan-2020","        127.56","        128.95","        129.55","        128.35","        129.28","        129.34","        129.20","     291102","            37609783.23","       1948","     200213","         68.78"
"NIFTYBEES","EQ","10-Jan-2020","        129.34","        129.95","        130.20","        129.30","        129.63","        129.61","        129.76","     426319","            55317647.77","       3591","     256688","         60.21"
"NIFTYBEES","EQ","13-Jan-2020","        129.61","        127.00","        130.50","        124.40","        130.44","        130.41","        130.25","     531373","            69212373.28","       2099","     394340","         74.21"
"NIFTYBEES","EQ","14-Jan-2020","        130.41","        130.75","        131.23","        129.80","        130.96","        131.01","        130.61","     325889","            42564885.85","       1947","     228312","         70.06"
"NIFTYBEES","EQ","15-Jan-2020","        131.01","        131.40","        131.45","        130.00","        131.00","        131.01","        130.63","     318992","            41670719.71","       2976","     227010","         71.16"
"NIFTYBEES","EQ","16-Jan-2020","        131.01","        131.45","        131.50","        130.00","        130.95","        130.91","        130.91","     277915","            36382116.55","       1734","     190599","         68.58"
"NIFTYBEES","EQ","17-Jan-2020","        130.91","        131.45","        131.45","        130.50","        131.13","        131.19","        131.10","     394076","            51663483.74","       1736","     238408","         60.50"
"NIFTYBEES","EQ","20-Jan-2020","        131.19","        131.21","        131.50","        129.70","        129.98","        129.78","        130.50","     769381","           100401539.64","       3351","     509968","         66.28"
"NIFTYBEES","EQ","21-Jan-2020","        129.78","        130.35","        130.35","        129.05","        129.28","        129.27","        129.38","     458654","            59342347.20","       3082","     376433","         82.07"
"NIFTYBEES","EQ","22-Jan-2020","        129.27","        131.45","        131.45","        128.22","        128.65","        128.53","        128.76","     471486","            60707245.86","       2687","     372233","         78.95"
"NIFTYBEES","EQ","23-Jan-2020","        128.53","        129.45","        129.45","        128.20","        129.32","        129.31","        129.06","     184783","            23848323.13","       1927","     123876","         67.04"
"NIFTYBEES","EQ","24-Jan-2020","        129.31","        129.26","        130.30","        128.75","        130.05","        130.11","        130.06","     630671","            82026159.70","       1621","     543005","         86.10"
"NIFTYBEES","EQ","27-Jan-2020","        130.11","        129.00","        130.00","        128.55","        128.74","        128.73","        129.07","     414564","            53507903.01","       2807","     294797","         71.11"
"NIFTYBEES","EQ","28-Jan-2020","        128.73","        130.66","        130.66","        127.60","        128.15","        128.10","        128.35","     826302","           106054524.09","       4043","     697998","         84.47"
"NIFTYBEES","EQ","29-Jan-2020","        128.10","        128.75","        129.20","        128.05","        128.65","        128.76","        128.80","     179693","            23144021.29","       1857","      91712","         51.04"
"NIFTYBEES","EQ","30-Jan-2020","        128.76","        128.95","        129.00","        127.50","        127.70","        127.74","        127.92","    1074097","           137397563.70","       5104","     977959","         91.05"
"NIFTYBEES","EQ","31-Jan-2020","        127.74","        127.95","        128.43","        126.90","        127.72","        127.17","        127.30","     632544","            80525238.50","       4409","     357794","         56.56"
"NIFTYBEES","EQ","01-Feb-2020","        127.17","        127.35","        127.78","        123.60","        124.05","        124.71","        126.05","    1076883","           135737910.17","      10932","     663640","         61.63"
