"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","04-Jan-2010","        521.71","        521.71","        524.70","        521.05","        524.65","        523.93","        522.80","      41409","            21648539.77","-","      20092","         48.52"
"NIFTYBEES","EQ","05-Jan-2010","        523.93","        525.10","        529.50","        525.10","        527.50","        528.96","        528.11","      63261","            33408819.38","-","      30852","         48.77"
"NIFTYBEES","EQ","06-Jan-2010","        528.96","        528.96","        531.60","        527.10","        530.00","        530.87","        529.41","      49091","            25989292.50","-","      28124","         57.29"
"NIFTYBEES","EQ","07-Jan-2010","        530.87","        530.00","        530.00","        525.10","        528.00","        528.06","        527.56","      41330","            21804107.48","-","      22908","         55.43"
"NIFTYBEES","EQ","08-Jan-2010","        528.06","        530.00","        530.00","        525.00","        525.65","        525.85","        526.97","      25761","            13575309.57","-","      12509","         48.56"
"NIFTYBEES","EQ","11-Jan-2010","        525.85","        532.00","        532.00","        526.80","        528.50","        527.91","        528.59","      28127","            14867735.09","-","      18913","         67.24"
"NIFTYBEES","EQ","12-Jan-2010","        527.91","        526.00","        529.40","        521.10","        521.10","        523.04","        524.63","      42085","            22078888.11","-","      25808","         61.32"
"NIFTYBEES","EQ","13-Jan-2010","        523.04","        522.00","        528.24","        520.00","        527.05","        527.32","        523.70","      47823","            25044933.06","-","      25749","         53.84"
"NIFTYBEES","EQ","14-Jan-2010","        527.32","        527.32","        531.00","        525.62","        527.55","        527.34","        527.51","      50875","            26837219.64","-","      30302","         59.56"
"NIFTYBEES","EQ","15-Jan-2010","        527.34","        527.00","        530.00","        524.50","        530.00","        528.59","        528.54","      93866","            49611596.89","-","      60079","         64.01"
"NIFTYBEES","EQ","18-Jan-2010","        528.59","        527.00","        530.45","        525.50","        527.15","        528.75","        528.42","      27045","            14291173.51","-","      14924","         55.18"
"NIFTYBEES","EQ","19-Jan-2010","        528.75","        529.70","        530.00","        523.30","        526.00","        524.86","        526.37","      77342","            40710541.55","-","      52031","         67.27"
"NIFTYBEES","EQ","20-Jan-2010","        524.86","        525.00","        529.39","        522.00","        524.50","        523.31","        524.12","      16676","             8740268.88","-","       8016","         48.07"
"NIFTYBEES","EQ","21-Jan-2010","        523.31","        520.90","        523.00","        512.80","        517.00","        513.94","        516.38","     197743","           102110495.85","-","     131277","         66.39"
"NIFTYBEES","EQ","22-Jan-2010","        513.94","        510.00","        512.02","        500.89","        509.00","        507.96","        506.06","     431159","           218193291.06","-","     209304","         48.54"
"NIFTYBEES","EQ","25-Jan-2010","        507.96","        504.00","        506.80","        499.00","        499.99","        500.86","        501.35","     308280","           154554953.99","-","     230522","         74.78"
"NIFTYBEES","EQ","27-Jan-2010","        500.86","        497.25","        500.86","        487.15","        488.00","        489.52","        494.29","     367694","           181748525.41","-","     212356","         57.75"
"NIFTYBEES","EQ","28-Jan-2010","        489.52","        494.85","        497.68","        487.62","        492.00","        490.84","        491.71","      91340","            44912532.05","-","      41734","         45.69"
"NIFTYBEES","EQ","29-Jan-2010","        490.84","        488.00","        497.97","        481.20","        497.97","        492.72","        487.59","     469958","           229148317.03","-","     246913","         52.54"
"NIFTYBEES","EQ","01-Feb-2010","        492.72","        490.40","        496.50","        487.05","        492.22","        493.91","        491.97","     126480","            62224473.67","-","      67299","         53.21"
"NIFTYBEES","EQ","02-Feb-2010","        493.91","        500.00","        501.00","        485.90","        487.00","        486.88","        490.55","      88157","            43245139.62","-","      37208","         42.21"
"NIFTYBEES","EQ","03-Feb-2010","        486.88","        490.90","        496.45","        490.00","        493.50","        494.44","        494.53","     121583","            60126296.06","-","      69264","         56.97"
"NIFTYBEES","EQ","04-Feb-2010","        494.44","        494.00","        494.40","        487.90","        489.00","        488.81","        491.54","      62303","            30624649.00","-","      45140","         72.45"
"NIFTYBEES","EQ","05-Feb-2010","        488.81","        484.82","        484.82","        473.00","        479.50","        476.85","        477.50","     885328","           422740543.36","-","     533912","         60.31"
"NIFTYBEES","EQ","06-Feb-2010","        476.85","        483.30","        494.93","        478.60","        494.93","        487.55","        484.14","      15463","             7486262.32","-","       6040","         39.06"
"NIFTYBEES","EQ","08-Feb-2010","        487.55","        487.55","        487.55","        471.50","        479.45","        478.89","        475.58","     364792","           173487687.81","-","     167001","         45.78"
"NIFTYBEES","EQ","09-Feb-2010","        478.89","        478.00","        485.49","        476.10","        482.60","        484.31","        482.67","      73119","            35292046.36","-","      26882","         36.76"
"NIFTYBEES","EQ","10-Feb-2010","        484.31","        485.99","        486.45","        476.50","        477.85","        477.45","        481.30","      86182","            41479095.34","-","      39224","         45.51"
"NIFTYBEES","EQ","11-Feb-2010","        477.45","        481.00","        487.00","        481.00","        484.01","        485.43","        485.18","      35532","            17239367.17","-","      12852","         36.17"
"NIFTYBEES","EQ","15-Feb-2010","        485.43","        487.06","        488.50","        482.22","        484.00","        484.91","        484.60","      45577","            22086504.49","-","      26521","         58.19"
"NIFTYBEES","EQ","16-Feb-2010","        484.91","        486.00","        490.00","        481.50","        489.40","        488.84","        484.25","      67726","            32796621.20","-","      39354","         58.11"
"NIFTYBEES","EQ","17-Feb-2010","        488.84","        491.00","        494.93","        490.27","        493.88","        492.51","        492.94","      65501","            32288051.69","-","      44237","         67.54"
"NIFTYBEES","EQ","18-Feb-2010","        492.51","        494.00","        495.00","        490.00","        490.00","        490.96","        491.49","      37964","            18659088.63","-","      18535","         48.82"
"NIFTYBEES","EQ","19-Feb-2010","        490.96","        490.00","        490.40","        484.10","        488.00","        487.66","        486.52","      38353","            18659484.37","-","      17843","         46.52"
"NIFTYBEES","EQ","22-Feb-2010","        487.66","        491.00","        494.00","        486.25","        486.25","        487.55","        491.48","      44975","            22104262.65","-","      20124","         44.74"
"NIFTYBEES","EQ","23-Feb-2010","        487.55","        484.50","        490.45","        484.50","        488.21","        487.92","        488.56","      30478","            14890230.32","-","      14122","         46.34"
"NIFTYBEES","EQ","24-Feb-2010","        487.92","        483.50","        489.86","        480.20","        488.88","        488.33","        488.17","      15158","             7399752.44","-","       4795","         31.63"
"NIFTYBEES","EQ","25-Feb-2010","        488.33","        489.25","        489.25","        485.25","        488.20","        486.75","        486.96","      35576","            17324220.16","-","      16517","         46.43"
"NIFTYBEES","EQ","26-Feb-2010","        486.75","        488.00","        502.90","        488.00","        496.00","        494.84","        495.39","     234996","           116414011.79","-","     123849","         52.70"
"NIFTYBEES","EQ","02-Mar-2010","        494.84","        501.00","        504.90","        498.25","        504.00","        503.60","        501.84","     126495","            63480156.56","-","      72441","         57.27"
"NIFTYBEES","EQ","03-Mar-2010","        503.60","        504.00","        511.80","        503.05","        510.13","        510.07","        508.12","      80650","            40980013.46","-","      47949","         59.45"
"NIFTYBEES","EQ","04-Mar-2010","        510.07","        520.00","        520.00","        506.90","        509.10","        509.17","        508.56","      52142","            26517426.05","-","      25731","         49.35"
"NIFTYBEES","EQ","05-Mar-2010","        509.17","        509.00","        513.01","        509.00","        509.15","        509.96","        510.96","      44716","            22848216.69","-","      18506","         41.39"
"NIFTYBEES","EQ","08-Mar-2010","        509.96","        512.00","        517.75","        511.90","        513.00","        512.89","        513.59","     153676","            78927174.00","-","      92448","         60.16"
