"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","01-Jan-2014","        637.53","        636.00","        639.28","        636.00","        638.20","        637.19","        637.98","      13050","             8325662.11","        747","       9631","         73.80"
"NIFTYBEES","EQ","02-Jan-2014","        637.19","        637.00","        642.96","        627.25","        628.85","        628.56","        637.54","      67550","            43066137.61","        846","      39777","         58.89"
"NIFTYBEES","EQ","03-Jan-2014","        628.56","        624.19","        629.40","        623.50","        629.00","        627.92","        626.25","      26606","            16661911.89","        694","      17825","         67.00"
"NIFTYBEES","EQ","06-Jan-2014","        627.92","        627.60","        628.42","        624.00","        626.00","        625.42","        625.60","      12577","             7868121.03","        565","       7766","         61.75"
"NIFTYBEES","EQ","07-Jan-2014","        625.42","        625.40","        628.80","        621.35","        623.00","        623.94","        623.90","      14607","             9113332.07","        998","       7815","         53.50"
"NIFTYBEES","EQ","08-Jan-2014","        623.94","        624.00","        626.05","        623.00","        623.25","        624.34","        624.50","      15422","             9630971.71","        436","      12552","         81.39"
"NIFTYBEES","EQ","09-Jan-2014","        624.34","        624.00","        625.83","        621.96","        623.71","        623.57","        623.42","      16888","            10528337.02","        367","      13661","         80.89"
"NIFTYBEES","EQ","10-Jan-2014","        623.57","        624.00","        630.90","        621.23","        625.50","        624.72","        626.80","      15422","             9666525.32","        867","      11234","         72.84"
"NIFTYBEES","EQ","13-Jan-2014","        624.72","        626.00","        636.45","        625.00","        635.90","        633.59","        630.77","      40427","            25500337.84","        701","      36328","         89.86"
"NIFTYBEES","EQ","14-Jan-2014","        633.59","        632.50","        634.91","        630.00","        630.93","        630.89","        631.85","      15562","             9832886.27","        444","       9437","         60.64"
"NIFTYBEES","EQ","15-Jan-2014","        630.89","        632.00","        638.98","        632.00","        637.56","        638.07","        636.24","      23493","            14947146.31","       1285","      15086","         64.21"
"NIFTYBEES","EQ","16-Jan-2014","        638.07","        640.00","        640.75","        637.13","        638.00","        638.81","        638.69","      27420","            17512989.46","        489","      20359","         74.25"
"NIFTYBEES","EQ","17-Jan-2014","        638.81","        636.93","        639.64","        631.25","        632.00","        632.27","        635.85","      14615","             9292884.76","        744","       9708","         66.42"
"NIFTYBEES","EQ","20-Jan-2014","        632.27","        633.00","        639.50","        631.28","        639.00","        638.78","        636.16","       9754","             6205094.68","        454","       4583","         46.99"
"NIFTYBEES","EQ","21-Jan-2014","        638.78","        639.00","        640.00","        636.11","        638.00","        637.09","        637.88","      18197","            11607434.54","        402","      14808","         81.38"
"NIFTYBEES","EQ","22-Jan-2014","        637.09","        638.00","        643.20","        635.99","        642.57","        642.41","        639.72","      23419","            14981515.02","        586","      10584","         45.19"
"NIFTYBEES","EQ","23-Jan-2014","        642.41","        640.97","        643.99","        639.00","        643.95","        642.91","        641.06","      19556","            12536505.97","        431","      14810","         75.73"
"NIFTYBEES","EQ","24-Jan-2014","        642.91","        639.00","        640.80","        633.25","        635.08","        634.63","        635.35","      19772","            12562085.67","        590","      12459","         63.01"
"NIFTYBEES","EQ","27-Jan-2014","        634.63","        630.00","        632.02","        619.50","        621.00","        621.02","        624.73","      31047","            19395932.06","       1545","      26240","         84.52"
"NIFTYBEES","EQ","28-Jan-2014","        621.02","        621.15","        624.89","        617.12","        621.30","        621.31","        620.92","      20741","            12878566.88","        793","      12154","         58.60"
"NIFTYBEES","EQ","29-Jan-2014","        621.31","        624.00","        628.00","        622.31","        624.65","        624.30","        625.08","      17075","            10673205.33","        456","       7715","         45.18"
"NIFTYBEES","EQ","30-Jan-2014","        624.30","        617.01","        620.65","        611.50","        616.90","        616.74","        615.30","      29735","            18296031.70","       1350","      24536","         82.52"
"NIFTYBEES","EQ","31-Jan-2014","        616.74","        618.00","        618.49","        616.15","        616.75","        617.24","        617.27","      15819","             9764632.02","        420","       9907","         62.63"
"NIFTYBEES","EQ","03-Feb-2014","        617.24","        616.75","        617.70","        611.01","        612.90","        612.91","        614.09","      18035","            11075036.80","       1589","      15876","         88.03"
"NIFTYBEES","EQ","04-Feb-2014","        612.91","        611.90","        611.90","        603.10","        607.67","        609.32","        606.35","      48332","            29305965.41","       1109","      35834","         74.14"
"NIFTYBEES","EQ","05-Feb-2014","        609.32","        586.15","        612.00","        586.15","        611.95","        610.92","        609.51","      35078","            21380415.01","        772","      26610","         75.86"
"NIFTYBEES","EQ","06-Feb-2014","        610.92","        649.90","        663.55","        605.00","        612.00","        611.06","        609.63","      21455","            13079708.88","        695","      11143","         51.94"
"NIFTYBEES","EQ","07-Feb-2014","        611.06","        615.00","        616.99","        612.21","        616.97","        616.05","        615.43","      23813","            14655193.41","       1122","      14763","         62.00"
"NIFTYBEES","EQ","10-Feb-2014","        616.05","        616.10","        618.00","        613.00","        614.40","        614.79","        615.65","      10671","             6569596.47","        601","       8332","         78.08"
"NIFTYBEES","EQ","11-Feb-2014","        614.79","        615.00","        617.00","        613.00","        616.30","        615.99","        615.66","      15856","             9761852.04","        372","      11178","         70.50"
"NIFTYBEES","EQ","12-Feb-2014","        615.99","        616.31","        620.80","        616.31","        616.63","        617.25","        617.77","       9565","             5908963.06","        357","       7333","         76.66"
"NIFTYBEES","EQ","13-Feb-2014","        617.25","        618.00","        618.00","        607.01","        608.87","        608.34","        611.94","      17677","            10817344.09","        620","      12735","         72.04"
"NIFTYBEES","EQ","14-Feb-2014","        608.34","        609.00","        614.30","        607.13","        614.09","        613.39","        610.07","      18927","            11546889.10","        667","       8880","         46.92"
"NIFTYBEES","EQ","17-Feb-2014","        613.39","        614.00","        618.00","        610.17","        618.00","        616.19","        614.96","      21357","            13133595.12","       1095","       8627","         40.39"
"NIFTYBEES","EQ","18-Feb-2014","        616.19","        617.00","        621.84","        615.02","        618.00","        619.96","        619.86","      17755","            11005656.53","        656","      13582","         76.50"
"NIFTYBEES","EQ","19-Feb-2014","        619.96","        620.00","        623.95","        619.13","        623.90","        622.50","        620.83","      12928","             8026114.55","        378","       9173","         70.95"
"NIFTYBEES","EQ","20-Feb-2014","        622.50","        622.00","        622.00","        616.90","        616.90","        618.29","        618.91","      10832","             6704043.90","        446","       8979","         82.89"
"NIFTYBEES","EQ","21-Feb-2014","        618.29","        587.05","        624.80","        587.05","        624.80","        623.24","        621.32","       9267","             5757784.56","        511","       4865","         52.50"
