"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","01-Jan-2019","       1136.75","       1136.75","       1141.00","       1130.10","       1140.50","       1139.84","       1133.70","      30749","            34860287.83","       1025","      17752","         57.73"
"NIFTYBEES","EQ","02-Jan-2019","       1139.84","       1136.64","       1138.99","       1123.70","       1128.65","       1129.73","       1130.46","      31423","            35522323.35","       1600","      18032","         57.38"
"NIFTYBEES","EQ","03-Jan-2019","       1129.73","       1129.50","       1131.98","       1116.50","       1119.00","       1118.35","       1122.53","      46737","            52463909.38","       1575","      32454","         69.44"
"NIFTYBEES","EQ","04-Jan-2019","       1118.35","       1118.35","       1125.94","       1114.10","       1124.95","       1124.91","       1120.89","      33562","            37619453.43","       1343","      16501","         49.17"
"NIFTYBEES","EQ","07-Jan-2019","       1124.91","       1128.00","       1135.70","       1124.00","       1126.82","       1125.62","       1129.35","      38459","            43433540.59","       1260","      20759","         53.98"
"NIFTYBEES","EQ","08-Jan-2019","       1125.62","       1125.40","       1130.98","       1122.55","       1127.95","       1128.57","       1126.21","      45284","            50999453.97","        910","      27099","         59.84"
"NIFTYBEES","EQ","09-Jan-2019","       1128.57","       1134.80","       1134.80","       1123.00","       1132.30","       1132.63","       1130.55","      61725","            69783061.87","       1043","      34100","         55.25"
"NIFTYBEES","EQ","10-Jan-2019","       1132.63","       1136.00","       1136.00","       1128.70","       1130.22","       1132.48","       1131.45","      45633","            51631540.10","        966","      22822","         50.01"
"NIFTYBEES","EQ","11-Jan-2019","       1132.48","       1128.00","       1133.99","       1122.30","       1127.46","       1126.87","       1125.87","      65899","            74193734.43","       1201","      27700","         42.03"
"NIFTYBEES","EQ","14-Jan-2019","       1126.87","       1128.80","       1128.80","       1118.90","       1121.10","       1121.67","       1121.18","      37212","            41721181.65","       1436","      18422","         49.51"
