"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","01-Jan-2016","        803.01","        802.00","        807.50","        800.00","        804.00","        805.06","        804.36","      27347","            21996962.72","       1020","      13576","         49.64"
"NIFTYBEES","EQ","04-Jan-2016","        805.06","        802.95","        803.50","        789.00","        790.40","        790.31","        794.65","      40397","            32101308.35","       1818","      25860","         64.01"
"NIFTYBEES","EQ","05-Jan-2016","        790.31","        793.87","        793.95","        787.95","        790.00","        789.81","        790.43","      34797","            27504613.90","       1000","      19119","         54.94"
"NIFTYBEES","EQ","06-Jan-2016","        789.81","        789.80","        790.88","        783.70","        784.40","        785.16","        787.65","      48620","            38295645.53","       1131","      27070","         55.68"
"NIFTYBEES","EQ","07-Jan-2016","        785.16","        782.01","        783.00","        767.25","        768.00","        768.92","        771.13","     156360","           120574176.12","       3450","     102355","         65.46"
"NIFTYBEES","EQ","08-Jan-2016","        768.92","        770.00","        774.30","        769.00","        771.00","        770.63","        771.47","      84434","            65138385.42","       1256","      46697","         55.31"
"NIFTYBEES","EQ","11-Jan-2016","        770.63","        766.02","        771.10","        760.44","        768.00","        766.72","        765.06","      92372","            70670137.00","       2638","      42683","         46.21"
"NIFTYBEES","EQ","12-Jan-2016","        766.72","        770.00","        770.00","        760.00","        762.50","        761.98","        762.31","      66626","            50789455.43","       1837","      36936","         55.44"
"NIFTYBEES","EQ","13-Jan-2016","        761.98","        764.35","        768.93","        752.55","        766.50","        766.27","        761.20","      52408","            39893196.94","       2556","      20425","         38.97"
"NIFTYBEES","EQ","14-Jan-2016","        766.27","        761.70","        768.92","        756.00","        763.00","        762.17","        761.83","      80633","            61428861.03","       1925","      30795","         38.19"
"NIFTYBEES","EQ","15-Jan-2016","        762.17","        764.00","        764.20","        753.70","        755.00","        755.06","        758.63","      36182","            27448760.50","       1938","      21601","         59.70"
"NIFTYBEES","EQ","18-Jan-2016","        755.06","        753.51","        756.00","        744.61","        745.68","        745.65","        750.22","      81076","            60824930.93","       2642","      47449","         58.52"
"NIFTYBEES","EQ","19-Jan-2016","        745.65","        749.00","        754.99","        746.11","        753.30","        752.11","        750.33","      44456","            33356864.15","       1415","      18181","         40.90"
"NIFTYBEES","EQ","20-Jan-2016","        752.11","        747.00","        748.00","        735.00","        741.50","        740.02","        739.69","      94508","            69906923.91","       3153","      62523","         66.16"
"NIFTYBEES","EQ","21-Jan-2016","        740.02","        744.45","        747.80","        735.01","        737.90","        737.93","        740.08","      80770","            59776189.32","       2083","      33339","         41.28"
"NIFTYBEES","EQ","22-Jan-2016","        737.93","        740.55","        754.00","        740.55","        753.25","        753.06","        751.43","     359614","           270225061.83","       1898","     300334","         83.52"
"NIFTYBEES","EQ","25-Jan-2016","        753.06","        755.99","        758.85","        752.25","        754.95","        754.19","        756.01","      38582","            29168485.18","       1131","      17762","         46.04"
"NIFTYBEES","EQ","27-Jan-2016","        754.19","        756.00","        756.90","        751.01","        751.80","        752.65","        753.75","      26832","            20224506.26","        914","      11281","         42.04"
"NIFTYBEES","EQ","28-Jan-2016","        752.65","        751.53","        753.90","        749.00","        749.20","        750.54","        750.32","     308341","           231355706.05","        944","     286065","         92.78"
"NIFTYBEES","EQ","29-Jan-2016","        750.54","        752.01","        764.60","        751.32","        764.60","        762.29","        757.63","      65382","            49535591.22","       1147","      34756","         53.16"
"NIFTYBEES","EQ","01-Feb-2016","        762.29","        764.00","        767.00","        763.00","        764.00","        764.14","        764.80","      38694","            29593208.98","       1411","      23880","         61.71"
"NIFTYBEES","EQ","02-Feb-2016","        764.14","        764.50","        767.00","        754.00","        756.00","        755.96","        760.85","      30055","            22867234.10","       1141","      13522","         44.99"
"NIFTYBEES","EQ","03-Feb-2016","        755.96","        752.02","        752.02","        742.35","        743.50","        743.55","        745.05","     385034","           286869456.60","       2045","     290723","         75.51"
"NIFTYBEES","EQ","04-Feb-2016","        743.55","        748.19","        755.00","        744.50","        749.95","        747.59","        749.38","      51881","            38878681.52","       1172","      24011","         46.28"
"NIFTYBEES","EQ","05-Feb-2016","        747.59","        750.50","        757.40","        748.35","        757.00","        756.16","        753.92","      48418","            36503473.05","       1328","      22577","         46.63"
"NIFTYBEES","EQ","08-Feb-2016","        756.16","        756.00","        758.40","        743.50","        744.62","        746.87","        753.52","      48121","            36260037.31","       1776","      28871","         60.00"
"NIFTYBEES","EQ","09-Feb-2016","        746.87","        742.50","        742.50","        735.10","        737.90","        736.84","        737.56","     419238","           309215150.43","       2652","     282398","         67.36"
