"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","01-Jan-2018","       1084.48","       1084.99","       1085.95","       1075.00","       1075.00","       1078.14","       1079.40","      42545","            45923016.88","        754","      28769","         67.62"
"NIFTYBEES","EQ","02-Jan-2018","       1078.14","       1080.00","       1081.70","       1072.74","       1074.29","       1074.61","       1075.25","      10714","            11520253.17","        594","       6463","         60.32"
"NIFTYBEES","EQ","03-Jan-2018","       1074.61","       1077.50","       1082.94","       1074.33","       1077.05","       1076.29","       1079.86","      22434","            24225489.38","       1736","      13370","         59.60"
"NIFTYBEES","EQ","04-Jan-2018","       1076.29","       1077.51","       1083.50","       1075.30","       1082.00","       1081.76","       1078.74","      29667","            32002849.13","       1961","      13857","         46.71"
"NIFTYBEES","EQ","05-Jan-2018","       1081.76","       1087.00","       1088.45","       1082.45","       1088.45","       1087.20","       1086.30","      21335","            23176227.71","       1667","      16765","         78.58"
"NIFTYBEES","EQ","08-Jan-2018","       1087.20","       1094.00","       1094.40","       1090.03","       1092.27","       1092.46","       1092.00","      74440","            81288804.93","        786","      67161","         90.22"
"NIFTYBEES","EQ","09-Jan-2018","       1092.46","       1095.00","       1096.24","       1091.66","       1095.00","       1094.91","       1094.05","      16024","            17531014.03","        449","      11121","         69.40"
"NIFTYBEES","EQ","10-Jan-2018","       1094.91","       1100.00","       1100.30","       1093.22","       1098.00","       1099.07","       1098.46","     478051","           525119891.79","        796","     454125","         95.00"
"NIFTYBEES","EQ","11-Jan-2018","       1099.07","       1100.00","       1102.25","       1091.41","       1101.65","       1100.29","       1099.37","     370824","           407673313.97","        511","     302083","         81.46"
"NIFTYBEES","EQ","12-Jan-2018","       1100.29","       1111.00","       1111.00","       1095.00","       1103.00","       1102.69","       1100.73","       8617","             9484962.35","        440","       5456","         63.32"
"NIFTYBEES","EQ","15-Jan-2018","       1102.69","       1102.70","       1112.00","       1102.70","       1109.19","       1109.02","       1109.02","      16670","            18487368.18","        814","      11917","         71.49"
"NIFTYBEES","EQ","16-Jan-2018","       1109.02","       1061.00","       1110.70","       1061.00","       1104.00","       1103.79","       1106.21","      11802","            13055531.26","        471","       8541","         72.37"
"NIFTYBEES","EQ","17-Jan-2018","       1103.79","       1102.78","       1112.50","       1100.00","       1111.06","       1110.49","       1107.08","     194809","           215669145.87","        470","     182682","         93.77"
"NIFTYBEES","EQ","18-Jan-2018","       1110.49","       1117.65","       1120.50","       1110.85","       1114.25","       1115.38","       1117.76","      19453","            21743792.56","        664","      13961","         71.77"
"NIFTYBEES","EQ","19-Jan-2018","       1115.38","       1111.30","       1124.57","       1111.30","       1124.45","       1121.84","       1117.48","      27656","            30904895.89","        604","      14079","         50.91"
"NIFTYBEES","EQ","22-Jan-2018","       1121.84","       1120.00","       1130.79","       1120.00","       1129.00","       1128.79","       1124.14","      33042","            37143925.99","        725","      25056","         75.83"
