Date,Open,High,Low,Close
2-January-2012,15534.67,15542.85,15358.02,15517.92,
3-January-2012,15640.56,15970.31,15640.56,15939.36,
4-January-2012,15967.49,16004.69,15822.32,15882.64,
5-January-2012,15893.07,15980.17,15809.31,15857.08,
6-January-2012,15789.08,16001.31,15664.91,15867.73,
7-January-2012,15893.30,15900.30,15835.29,15848.80,
9-January-2012,15840.22,15871.51,15678.30,15814.72,
10-January-2012,15898.32,16180.97,15898.32,16165.09,
11-January-2012,16222.37,16244.70,16127.77,16175.86,
12-January-2012,16117.19,16178.58,15962.59,16037.51,
13-January-2012,16144.57,16257.34,16049.78,16154.62,
16-January-2012,16086.74,16214.36,16037.60,16189.36,
17-January-2012,16270.87,16501.38,16270.87,16466.05,
18-January-2012,16502.42,16517.96,16384.48,16451.47,
19-January-2012,16573.87,16662.06,16572.10,16643.74,
20-January-2012,16745.01,16788.48,16611.71,16739.01,
23-January-2012,16667.02,16784.00,16659.32,16751.73,
24-January-2012,16806.72,17050.32,16770.01,16995.77,
25-January-2012,17068.85,17130.24,17016.69,17077.18,
27-January-2012,17201.33,17258.97,17106.57,17233.98,
30-January-2012,17138.04,17138.04,16828.33,16863.30,
31-January-2012,16965.58,17238.99,16965.58,17193.55,
1-February-2012,17179.64,17327.21,17061.55,17300.58,
2-February-2012,17438.07,17504.25,17308.28,17431.85,
3-February-2012,17444.25,17630.53,17382.70,17604.96,
6-February-2012,17741.91,17829.72,17595.10,17707.31,
7-February-2012,17813.74,17832.04,17582.49,17622.45,
8-February-2012,17631.69,17809.21,17579.59,17707.32,
9-February-2012,17647.80,17879.46,17609.43,17830.75,
10-February-2012,17817.59,17890.11,17627.14,17748.69,
13-February-2012,17761.70,17849.64,17665.89,17772.84,
14-February-2012,17767.46,17890.33,17742.58,17848.57,
15-February-2012,18000.30,18231.35,18000.30,18202.41,
16-February-2012,18163.05,18182.78,18043.32,18153.99,
17-February-2012,18331.20,18423.06,18234.56,18289.35,
21-February-2012,18303.73,18470.86,18293.80,18428.61,
22-February-2012,18490.87,18523.78,18095.81,18145.25,
23-February-2012,18127.35,18249.53,18005.28,18078.50,
24-February-2012,18079.01,18198.15,17848.93,17923.57,
27-February-2012,17975.19,17975.19,17381.64,17445.75,
