Date,Open,High,Low,Close
26-May-2011,17917.11,18072.61,17862.88,18044.64,
27-May-2011,18105.61,18298.64,18087.16,18266.10,
30-May-2011,18319.74,18380.17,18199.52,18232.06,
31-May-2011,18266.61,18526.80,18266.61,18503.28,
1-June-2011,18527.12,18636.12,18514.66,18608.81,
2-June-2011,18425.85,18540.67,18390.57,18494.18,
3-June-2011,18554.40,18672.65,18345.85,18376.48,
6-June-2011,18344.27,18458.63,18258.42,18420.11,
7-June-2011,18355.30,18545.95,18351.24,18495.62,
8-June-2011,18448.40,18505.10,18365.94,18394.29,
9-June-2011,18394.57,18449.64,18327.01,18384.90,
10-June-2011,18390.41,18399.02,18182.90,18268.54,
13-June-2011,18242.25,18313.21,18120.76,18266.03,
14-June-2011,18276.78,18380.19,18261.11,18308.66,
15-June-2011,18298.59,18308.69,18111.21,18132.24,
16-June-2011,18060.11,18155.10,17958.94,17985.88,
17-June-2011,18060.17,18064.76,17844.09,17870.53,
20-June-2011,17925.17,17925.17,17314.38,17506.63,
21-June-2011,17574.37,17714.88,17504.27,17560.30,
22-June-2011,17659.37,17678.86,17492.19,17550.63,
23-June-2011,17526.92,17754.55,17482.21,17727.49,
24-June-2011,17804.94,18268.95,17804.94,18240.68,
27-June-2011,18132.70,18494.11,18132.70,18412.41,
28-June-2011,18493.59,18527.45,18323.44,18492.45,
29-June-2011,18552.19,18715.39,18552.19,18693.86,
30-June-2011,18741.10,18873.39,18723.14,18845.87,
1-July-2011,18974.96,19031.38,18713.07,18762.80,
4-July-2011,18896.24,18942.42,18781.88,18814.48,
5-July-2011,18837.88,18837.88,18694.05,18744.56,
6-July-2011,18730.29,18823.45,18682.60,18726.97,
7-July-2011,18776.62,19097.78,18767.25,19078.30,
8-July-2011,19084.06,19131.70,18817.71,18858.04,
11-July-2011,18823.19,18843.97,18679.49,18721.39,
12-July-2011,18534.11,18589.19,18326.42,18411.62,
13-July-2011,18468.82,18626.41,18465.40,18596.02,
14-July-2011,18563.69,18803.05,18449.23,18618.20,
15-July-2011,18694.19,18936.43,18513.22,18561.92,
18-July-2011,18592.19,18622.56,18469.53,18507.04,
19-July-2011,18521.38,18690.42,18481.83,18653.87,
20-July-2011,18756.31,18765.60,18473.90,18502.38,
21-July-2011,18514.65,18566.99,18415.36,18436.19,
22-July-2011,18565.04,18747.06,18533.43,18722.30,
25-July-2011,18753.35,18932.27,18670.84,18871.29,
26-July-2011,18898.19,18944.60,18481.63,18518.22,
27-July-2011,18571.15,18578.55,18358.76,18432.25,
28-July-2011,18300.55,18327.85,18188.88,18209.52,
29-July-2011,18194.15,18334.27,18131.86,18197.20,
1-August-2011,18352.23,18440.07,18219.25,18314.33,
2-August-2011,18283.55,18283.55,18037.87,18109.89,
3-August-2011,17970.19,18005.76,17859.50,17940.55,
4-August-2011,17983.86,18032.55,17664.73,17693.18,
5-August-2011,17350.37,17358.18,16990.91,17305.87,
8-August-2011,16907.57,17247.87,16759.45,16990.18,
9-August-2011,16517.87,17135.04,16432.00,16857.91,
10-August-2011,17244.71,17256.46,17022.25,17130.51,
11-August-2011,17056.61,17207.82,17012.95,17059.40,
12-August-2011,17246.88,17246.88,16784.56,16839.63,
16-August-2011,17015.99,17035.49,16673.52,16730.94,
17-August-2011,16782.24,17000.38,16708.98,16840.80,
18-August-2011,16910.27,16916.81,16433.31,16469.79,
19-August-2011,16237.78,16287.72,15987.77,16141.67,
22-August-2011,16155.99,16370.46,16046.48,16341.70,
23-August-2011,16446.85,16549.21,16213.18,16498.47,
24-August-2011,16490.78,16533.22,16253.78,16284.98,
25-August-2011,16338.14,16373.84,16104.34,16146.33,
26-August-2011,16155.55,16256.38,15765.53,15848.83,
29-August-2011,16080.74,16462.03,16068.73,16416.33,
30-August-2011,16585.10,16714.70,16443.35,16676.75,
2-September-2011,16963.67,16989.86,16688.06,16821.46,
5-September-2011,16678.34,16760.07,16561.46,16713.33,
6-September-2011,16663.73,16894.73,16488.30,16862.81,
7-September-2011,16922.31,17157.21,16922.31,17065.00,
8-September-2011,17118.08,17209.66,16987.37,17165.54,
9-September-2011,17189.75,17211.80,16830.95,16866.97,
12-September-2011,16668.25,16668.25,16393.04,16501.74,
13-September-2011,16618.17,16766.19,16374.68,16467.44,
14-September-2011,16522.71,16754.22,16387.38,16709.60,
15-September-2011,16837.76,16922.40,16545.47,16876.54,
16-September-2011,17047.73,17122.54,16889.58,16933.83,
19-September-2011,16865.93,16865.93,16709.41,16745.35,
20-September-2011,16768.63,17135.44,16758.69,17099.28,
21-September-2011,17128.83,17191.12,17000.61,17065.15,
22-September-2011,16827.85,16833.61,16316.03,16361.15,
23-September-2011,16222.37,16368.41,16052.47,16162.06,
26-September-2011,16209.19,16209.19,15801.01,16051.10,
27-September-2011,16289.32,16551.65,16282.74,16524.03,
28-September-2011,16663.26,16663.26,16363.63,16446.02,
29-September-2011,16387.91,16756.08,16316.66,16698.07,
30-September-2011,16599.74,16745.16,16404.78,16453.76,
3-October-2011,16255.97,16255.97,16056.33,16151.45,
4-October-2011,16081.77,16202.38,15745.43,15864.86,
5-October-2011,15967.72,16044.91,15760.53,15792.41,
7-October-2011,16222.49,16347.48,16148.97,16232.54,
10-October-2011,16270.07,16595.93,16230.77,16557.23,
11-October-2011,16668.15,16774.12,16510.71,16536.47,
12-October-2011,16660.43,16987.06,16608.57,16958.39,
13-October-2011,17048.00,17084.07,16854.03,16883.92,
14-October-2011,16836.83,17112.45,16828.45,17082.69,
17-October-2011,17176.05,17188.55,16928.38,17025.09,
18-October-2011,16817.38,16824.76,16669.04,16748.29,
19-October-2011,16883.36,17106.99,16874.34,17085.34,
20-October-2011,16911.85,16962.06,16744.99,16936.89,
21-October-2011,16975.79,17032.32,16752.21,16785.64,
24-October-2011,17011.06,17104.88,16898.60,16939.28,
25-October-2011,17012.79,17322.13,16900.26,17254.86,
26-October-2011,17336.34,17350.49,17273.52,17288.83,
28-October-2011,17671.86,17908.13,17671.86,17804.80,
31-October-2011,17806.21,17813.11,17668.27,17705.01,
1-November-2011,17540.55,17661.78,17422.47,17480.83,
2-November-2011,17347.70,17615.92,17337.65,17464.85,
3-November-2011,17430.69,17527.10,17278.03,17481.93,
4-November-2011,17674.70,17702.26,17474.39,17562.61,
8-November-2011,17593.67,17632.23,17455.22,17569.53,
9-November-2011,17641.98,17658.34,17331.23,17362.10,
11-November-2011,17187.89,17279.23,17096.84,17192.82,
14-November-2011,17348.52,17391.99,17094.43,17118.74,
15-November-2011,17081.62,17172.09,16837.56,16882.67,
16-November-2011,16872.30,16878.30,16641.65,16775.87,
17-November-2011,16754.68,16807.15,16408.50,16461.71,
18-November-2011,16387.70,16396.69,16164.99,16371.51,
21-November-2011,16297.03,16297.03,15900.30,15946.10,
22-November-2011,15995.69,16212.95,15970.11,16065.42,
23-November-2011,15969.60,15969.60,15478.69,15699.97,
24-November-2011,15715.81,15901.30,15479.97,15858.49,
25-November-2011,15781.25,15891.05,15645.78,15695.43,
28-November-2011,15890.80,16186.68,15888.28,16167.13,
29-November-2011,16210.37,16210.37,15952.54,16008.34,
30-November-2011,15868.96,16179.56,15849.57,16123.46,
1-December-2011,16555.93,16718.11,16430.61,16483.45,
2-December-2011,16493.98,16888.84,16428.66,16846.83,
5-December-2011,16812.30,16863.10,16691.21,16805.33,
7-December-2011,16830.04,17003.71,16781.62,16877.06,
8-December-2011,16819.74,16847.82,16421.55,16488.24,
9-December-2011,16258.44,16382.57,16142.32,16213.46,
12-December-2011,16354.96,16360.32,15839.96,15870.35,
13-December-2011,15778.62,16079.38,15771.59,16002.51,
14-December-2011,15963.75,16133.41,15855.12,15881.14,
15-December-2011,15739.05,15908.02,15596.22,15836.47,
16-December-2011,15868.78,16068.90,15425.20,15491.35,
19-December-2011,15440.10,15440.10,15190.74,15379.34,
20-December-2011,15436.12,15448.13,15135.86,15175.08,
21-December-2011,15487.75,15727.31,15377.04,15685.21,
22-December-2011,15546.66,15834.63,15472.70,15813.36,
23-December-2011,15863.43,15911.23,15671.28,15738.70,
26-December-2011,15782.17,15998.44,15761.18,15970.75,
27-December-2011,15983.98,16049.12,15799.63,15873.95,
28-December-2011,15854.36,15887.80,15666.46,15727.85,
29-December-2011,15658.94,15724.60,15515.44,15543.93,
30-December-2011,15583.55,15694.05,15406.93,15454.92,
