Date,Open,High,Low,Close
3-January-2011,20621.61,20664.80,20531.00,20561.05,
4-January-2011,20617.38,20651.21,20449.01,20498.72,
5-January-2011,20509.95,20509.95,20243.95,20301.10,
6-January-2011,20395.50,20425.85,20107.17,20184.74,
7-January-2011,20163.85,20210.62,19629.22,19691.81,
10-January-2011,19714.42,19720.43,19158.43,19224.12,
11-January-2011,19279.77,19431.56,19003.60,19196.34,
12-January-2011,19353.34,19574.63,19048.56,19534.10,
13-January-2011,19492.30,19522.38,19136.27,19182.82,
14-January-2011,19198.04,19447.82,18811.96,18860.44,
17-January-2011,18911.43,19018.94,18779.38,18882.25,
18-January-2011,18983.20,19120.62,18933.47,19092.05,
19-January-2011,19153.31,19167.06,18898.56,18978.32,
20-January-2011,18892.43,19100.26,18794.73,19046.54,
21-January-2011,19007.08,19065.34,18932.40,19007.53,
24-January-2011,19095.69,19194.46,18998.38,19151.28,
25-January-2011,19227.42,19340.99,18949.44,18969.45,
27-January-2011,19086.69,19086.69,18656.05,18684.43,
28-January-2011,18708.62,18723.12,18235.45,18395.97,
31-January-2011,18226.21,18395.09,18038.48,18327.76,
1-February-2011,18425.18,18452.06,17982.17,18022.22,
2-February-2011,18216.91,18306.00,18042.61,18090.62,
3-February-2011,18113.73,18466.21,18064.61,18449.31,
4-February-2011,18450.07,18542.20,17926.98,18008.15,
7-February-2011,18135.02,18180.94,17977.01,18037.19,
8-February-2011,18141.51,18141.51,17742.18,17775.70,
9-February-2011,17723.99,17864.32,17508.35,17592.77,
10-February-2011,17603.29,17636.88,17362.59,17463.04,
11-February-2011,17519.13,17752.56,17295.62,17728.61,
14-February-2011,17940.16,18227.62,17857.12,18202.20,
15-February-2011,18260.08,18361.66,18050.48,18273.80,
16-February-2011,18273.06,18358.84,18216.12,18300.90,
17-February-2011,18345.12,18532.61,18233.79,18506.82,
18-February-2011,18564.08,18690.97,18159.82,18211.52,
21-February-2011,18238.54,18457.49,18082.66,18438.31,
22-February-2011,18390.72,18457.90,18187.33,18296.16,
23-February-2011,18233.77,18377.48,18150.01,18178.33,
24-February-2011,18135.12,18135.12,17559.70,17632.41,
25-February-2011,17775.08,17812.44,17469.97,17700.91,
28-February-2011,17811.08,18296.53,17718.88,17823.40,
1-March-2011,17982.28,18478.68,17964.39,18446.50,
3-March-2011,18318.32,18603.57,18253.62,18489.76,
4-March-2011,18622.70,18736.97,18448.69,18486.45,
7-March-2011,18361.65,18361.65,18058.71,18222.67,
8-March-2011,18277.34,18466.81,18266.62,18439.65,
9-March-2011,18522.80,18583.30,18303.80,18469.95,
10-March-2011,18430.84,18430.84,18261.26,18327.98,
11-March-2011,18248.11,18368.43,18063.29,18174.09,
14-March-2011,18167.10,18463.84,18155.43,18439.48,
15-March-2011,18113.79,18326.33,17920.55,18167.64,
16-March-2011,18263.68,18444.47,18263.68,18358.69,
17-March-2011,18227.16,18354.27,18104.02,18149.87,
18-March-2011,18251.18,18259.61,17849.53,17878.81,
21-March-2011,17984.72,18007.73,17792.17,17839.05,
22-March-2011,17929.09,18041.38,17878.80,17988.30,
23-March-2011,17972.04,18218.28,17950.17,18206.16,
24-March-2011,18286.42,18373.97,18269.32,18350.74,
25-March-2011,18480.69,18858.30,18480.69,18815.64,
28-March-2011,18799.71,19024.18,18799.57,18943.14,
29-March-2011,18949.57,19226.21,18944.82,19120.80,
30-March-2011,19178.77,19357.10,19178.77,19290.18,
31-March-2011,19339.75,19575.16,19284.35,19445.22,
1-April-2011,19463.11,19562.55,19382.35,19420.39,
4-April-2011,19473.93,19729.60,19449.36,19701.73,
5-April-2011,19731.38,19770.21,19523.54,19686.82,
6-April-2011,19698.61,19811.14,19550.55,19612.20,
7-April-2011,19620.88,19665.09,19537.02,19591.18,
8-April-2011,19602.81,19697.21,19388.42,19451.45,
11-April-2011,19382.91,19426.30,19242.59,19262.54,
13-April-2011,19187.01,19737.33,19101.63,19696.86,
15-April-2011,19670.07,19700.96,19337.12,19386.82,
18-April-2011,19389.74,19649.22,19071.47,19091.17,
19-April-2011,19091.78,19201.92,18976.19,19121.83,
20-April-2011,19274.21,19484.77,19171.03,19470.98,
21-April-2011,19582.50,19695.98,19530.50,19602.23,
25-April-2011,19538.52,19697.49,19531.34,19584.31,
26-April-2011,19596.32,19626.13,19306.92,19545.35,
27-April-2011,19610.71,19633.63,19412.79,19448.69,
28-April-2011,19532.85,19542.05,19265.92,19292.02,
29-April-2011,19292.57,19356.50,19015.05,19135.96,
2-May-2011,19224.05,19253.87,18954.76,18998.02,
3-May-2011,18979.31,19024.95,18502.42,18534.69,
4-May-2011,18558.33,18604.36,18339.53,18469.36,
5-May-2011,18484.71,18569.21,18160.65,18210.58,
6-May-2011,18289.78,18568.48,18271.68,18518.81,
9-May-2011,18628.63,18643.58,18367.21,18528.96,
10-May-2011,18564.95,18689.37,18429.06,18512.77,
11-May-2011,18572.61,18622.44,18454.93,18584.96,
12-May-2011,18525.32,18610.02,18314.34,18335.79,
13-May-2011,18362.45,18724.54,18280.70,18531.28,
16-May-2011,18492.68,18492.68,18319.88,18345.03,
17-May-2011,18374.45,18435.80,18084.67,18137.35,
18-May-2011,18177.32,18218.20,18020.79,18086.20,
19-May-2011,18166.64,18198.45,18057.82,18141.40,
20-May-2011,18199.96,18429.47,18161.38,18326.09,
23-May-2011,18269.06,18269.06,17971.02,17993.33,
24-May-2011,18016.43,18110.39,17933.94,18011.97,
25-May-2011,17976.36,17976.36,17786.13,17847.24,
